time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-16T19:22:29.500Z,40.4983333,-124.9016667,33.58,2.58,md,15,302,0.4309,0.12,nc,nc72802376,2017-05-17T00:32:02.768Z,"54km W of Ferndale, California",earthquake,0.95,1.84,0.304,16,reviewed,nc,nc
2017-05-16T18:19:38.310Z,32.8313333,-115.6058333,11.96,2.97,ml,45,44,0.06618,0.24,ci,ci37646591,2017-05-17T17:44:41.717Z,"3km WSW of Imperial, California",earthquake,0.23,0.37,0.126,95,reviewed,ci,ci
2017-05-16T18:13:33.130Z,36.6915,71.4035,181.83,4.2,mb,,83,0.792,0.8,us,us10008ssx,2017-05-17T17:17:16.174Z,"11km W of Ashkasham, Afghanistan",earthquake,7.4,4.9,0.064,69,reviewed,us,us
2017-05-16T18:10:05.780Z,-10.2889,161.5071,65.46,4.6,mb,,127,1.753,0.7,us,us10008ssy,2017-05-17T15:30:37.040Z,"48km WNW of Kirakira, Solomon Islands",earthquake,8.4,7.7,0.062,78,reviewed,us,us
2017-05-16T18:05:30.590Z,-23.9885,-66.9814,243.66,4.1,ml,,222,2.241,0.94,us,us10008ssu,2017-05-17T14:56:56.040Z,"72km WNW of San Antonio de los Cobres, Argentina",earthquake,15.6,33.2,,,reviewed,us,guc
2017-05-16T17:56:26.972Z,65.4515,-144.7115,1.7,2.7,ml,,,,0.68,ak,ak16045884,2017-05-17T14:48:01.040Z,"4km SSW of Circle Hot Springs Station, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-16T17:09:05.990Z,-14.5402,-73.4266,10,5.4,mww,,69,4.182,0.93,us,us10008ssf,2017-05-17T14:27:22.854Z,"60km ENE of Tambo, Peru",earthquake,6.9,1.8,0.078,16,reviewed,us,us
2017-05-16T16:48:29.490Z,36.0566,-97.53,7.02,2.6,mb_lg,,31,0.153,0.14,us,us10008ssc,2017-05-17T01:08:53.963Z,"12km NNE of Crescent, Oklahoma",earthquake,1.1,3,0.193,7,reviewed,us,us
2017-05-16T16:16:28.398Z,59.7011,-136.4685,7.1,2.5,ml,,,,1.06,ak,ak16045382,2017-05-16T16:21:53.544Z,"70km WNW of Skagway, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-05-16T15:59:17.340Z,-2.2085,-80.2783,56.87,4.6,mb,,101,0.712,1.14,us,us10008sr2,2017-05-16T21:16:50.117Z,"31km W of Santa Lucia, Ecuador",earthquake,7.2,7.9,0.055,97,reviewed,us,us
